cell_ID	par0	err0	par1	err1	chi2	integral
4315	0.859726	NA	NA	NA	NA	880
4316	1.32878	NA	NA	NA	NA	161
4317	0.933601	NA	NA	NA	NA	638
4318	1.28228	NA	NA	NA	NA	185
4319	1.07881	NA	NA	NA	NA	363
4320	1.63908	NA	NA	NA	NA	71
4321	inf	NA	NA	NA	NA	0
4322	1.45173	NA	NA	NA	NA	114
4323	0.835239	NA	NA	NA	NA	985
4324	1.15304	NA	NA	NA	NA	280
4325	0.699086	NA	NA	NA	NA	1972
4326	0.988264	NA	NA	NA	NA	511
4327	0.743844	NA	NA	NA	NA	1548
4328	1.0164	NA	NA	NA	NA	458
4329	0.676156	NA	NA	NA	NA	2246
4330	0.957539	NA	NA	NA	NA	578
4331	0.67849	NA	NA	NA	NA	2216
4332	0.962703	NA	NA	NA	NA	566
4333	0.684178	NA	NA	NA	NA	2145
4334	1.03607	NA	NA	NA	NA	425
4335	0.654771	NA	NA	NA	NA	2546
4336	0.98144	NA	NA	NA	NA	525
4337	0.725869	NA	NA	NA	NA	1703
4338	1.04435	NA	NA	NA	NA	412
4339	0.762696	NA	NA	NA	NA	1404
4340	1.10982	NA	NA	NA	NA	325
4341	0.772169	NA	NA	NA	NA	1338
4342	1.10039	NA	NA	NA	NA	336
4343	0.749107	NA	NA	NA	NA	1506
4344	1.10463	NA	NA	NA	NA	331
4345	0.78146	NA	NA	NA	NA	1277
4346	1.15946	NA	NA	NA	NA	274
4347	0.779589	NA	NA	NA	NA	1289
4348	1.1573	NA	NA	NA	NA	276
4349	0.842567	NA	NA	NA	NA	952
4350	1.18102	NA	NA	NA	NA	255
4351	0.799014	NA	NA	NA	NA	1171
4352	1.16943	NA	NA	NA	NA	265
4353	0.765365	NA	NA	NA	NA	1385
4354	1.17984	NA	NA	NA	NA	256
4355	0.804347	NA	NA	NA	NA	1141
4356	1.19195	NA	NA	NA	NA	246
4357	0.750131	NA	NA	NA	NA	1498
4358	1.16831	NA	NA	NA	NA	266
4359	0.757493	NA	NA	NA	NA	1442
4360	1.2047	NA	NA	NA	NA	236
4361	0.863523	NA	NA	NA	NA	865
4362	1.30259	NA	NA	NA	NA	174
4363	0.855275	NA	NA	NA	NA	898
4364	1.37225	NA	NA	NA	NA	142
4365	0.936245	NA	NA	NA	NA	631
4366	1.41785	NA	NA	NA	NA	125
4367	1.22232	NA	NA	NA	NA	223
4368	1.82191	NA	NA	NA	NA	47
4369	0.990758	NA	NA	NA	NA	506
4370	1.30841	NA	NA	NA	NA	171
4371	0.903184	NA	NA	NA	NA	726
4372	1.02991	NA	NA	NA	NA	435
4373	1.26179	NA	NA	NA	NA	197
4374	1.11335	NA	NA	NA	NA	321
4375	0.880426	NA	NA	NA	NA	802
4376	0.990257	NA	NA	NA	NA	507
4377	0.853574	NA	NA	NA	NA	905
