cell_ID	Chi1	Chi2	
426	-1	-1
427	-1	-1
428	-1	-1
429	-1	-1
430	-1	-1
431	-1	-1
432	-1	-1
433	239.576	15.5655
434	-1	-1
435	778.364	30.028
436	166.218	18.5288
437	961.061	30.8907
438	-1	-1
439	1060.76	31.9716
440	248.81	26.03
441	1342.09	40.8295
442	332.043	23.7548
443	1531.42	40.181
444	332.391	34.5464
445	1399	51.6711
446	390.581	28.5346
447	1581.69	38.6145
448	329.825	33.4441
449	1185.9	25.9166
450	237.148	31.6919
451	1125.54	28.806
452	297.07	21.2676
453	1320.77	44.2749
454	337.576	27.6833
455	1474.29	42.4971
456	363.217	32.8776
457	1282	29.2794
458	358.276	30.7556
459	1137.4	49.3301
460	431.641	29.5641
461	1751.53	31.7124
462	520.093	54.6117
463	1551.73	31.7774
464	-1	-1
465	-1	-1
466	-1	-1
467	-1	-1
468	-1	-1
469	-1	-1
470	-1	-1
471	-1	-1
472	-1	-1
473	-1	-1
474	-1	-1
475	-1	-1
476	-1	-1
477	-1	-1
478	-1	-1
479	-1	-1
480	-1	-1
481	305.752	35.2263
482	213.789	20.9828
483	851.956	23.809
484	271.028	30.2221
485	1110.48	37.3685
486	239.677	33.4148
487	1141.57	45.912
488	222.274	18.2209
489	1165.5	79.15
490	269.608	33.507
491	2412.12	472.477
492	240.701	31.9056
493	853.535	22.4161
494	365.516	37.1859
495	1169.12	50.6281
496	341.601	35.9144
497	1293.92	41.592
498	365.06	26.7555
499	1454.28	22.18
500	416.899	29.0832
501	1367.93	38.8503
502	435.482	22.9683
503	1473.57	35.2036
504	376.217	52.392
505	1363.15	33.9439
506	354.5	24.0775
507	1835.46	47.8554
508	589.941	57.4091
509	1841.24	38.9094
510	557.904	29.8701
511	1929.36	63.5945
512	590.009	38.7021
513	1922.17	19.643
514	581.152	30.1459
515	2009.07	45.8579
516	531.938	27.967
517	1187.43	31.0136
518	325.441	24.2176
519	1348.49	46.7066
520	861.926	30.6494
521	2456.92	61.7378
522	790.446	44.1144
523	2825.29	37.3464
524	650.827	17.0046
525	2368.28	33.9315
526	302.524	32.7337
527	349.312	44.58
528	-1	-1
529	286.923	20.8657
530	140.373	24.3441
531	844.696	38.3207
532	219.184	19.3421
533	1031.24	27.6541
534	269.778	15.5829
535	1024.43	40.6854
536	330.255	23.7925
537	1389.73	52.0462
538	409.494	33.5182
539	1539.04	30.0266
540	435.538	33.3152
541	1510.55	26.6555
542	601.938	38.3355
543	1691.45	32.435
544	-1	-1
545	1446.56	28.946
546	1216.07	57.0903
547	1385.71	41.2975
548	446.207	50.5666
549	-1	-1
550	-1	-1
551	1445.21	38.0771
552	-1	-1
553	-1	-1
554	-1	-1
555	-1	-1
556	734.533	33.4679
557	1406.43	36.2987
558	712.107	39.6085
559	1503.06	44.1438
560	857.741	42.0526
561	2334.48	41.7935
562	797.204	20.5716
563	2124.27	39.4565
564	866.275	35.7704
565	2069.38	32.2244
566	698.526	35.2835
567	2392.02	38.9019
568	779.702	31.2694
569	1767.3	63.0621
570	613.827	17.0904
571	1172.93	38.3115
572	625.578	24.2147
573	1509.76	34.3636
574	194.573	28.7244
575	455.135	50.4634
576	-1	-1
577	236.197	21.5711
578	216.83	13.7631
579	776.569	28.1557
580	270.345	14.4836
581	973.302	23.0237
582	266.382	17.2312
583	1007.77	17.5459
584	222.708	24.7777
585	691.781	38.7959
586	299.948	13.1358
587	853.996	28.0267
588	293.97	26.1986
589	882.688	47.8497
590	284.471	13.368
591	983.995	60.6584
592	317.693	45.7443
593	871.413	32.4632
594	134.2	12.7818
595	876.929	57.2474
596	348.134	33.7098
597	940.667	36.512
598	382.269	31.3552
599	1089.93	41.6389
600	670.905	26.4056
601	1286.06	58.5183
602	632.046	35.0453
603	1654.67	49.3574
604	523.019	33.9802
605	1364.69	43.9872
606	515.142	41.9808
607	1656.23	45.4682
608	615.652	43.622
609	1382.54	43.0565
610	581.29	23.4918
611	1559.65	37.3901
612	748.576	29.9653
613	1281.48	32.0609
614	627.269	54.8589
615	1388.51	34.2398
616	1058.08	36.878
617	2108.22	36.4855
618	994.363	22.7082
619	2102.1	45.4401
620	947.502	46.4278
621	1836.78	47.3553
622	266.797	25.4779
623	631.86	46.8344
624	-1	-1
625	259.256	21.1727
626	195.931	23.3215
627	729.973	26.8109
628	249.946	20.0386
629	822.729	39.3252
630	273.799	29.3961
631	961.598	31.6335
632	447.619	20.3248
633	1259.71	50.3073
634	456.04	49.4944
635	1380.87	37.7286
636	436.83	18.4722
637	1316.45	23.3632
638	540.72	33.1912
639	1365.72	43.233
640	256.216	22.6134
641	1198.8	57.0888
642	401.583	14.4127
643	1116.48	21.5767
644	373.562	48.2036
645	1364.61	35.8947
646	335.187	44.8757
647	999.075	32.8714
648	708.542	15.8484
649	2014.78	40.0078
650	693.31	34.3019
651	1786.64	39.6453
652	569.722	52.7528
653	1203.97	44.3622
654	573.975	27.0213
655	-1	-1
656	862.916	35.569
657	1897.92	47.2304
658	824.168	53.181
659	2064.05	35.8914
660	1064.05	45.4268
661	2175.52	43.5742
662	1011.14	31.3859
663	2053.27	29.4393
664	944.652	45.4757
665	1894.53	62.6128
666	721.271	40.2318
667	1627.43	40.3363
668	674.16	58.2733
669	1381.79	41.6727
670	249.438	31.4289
671	454.415	24.551
672	153.781	34.3174
673	298.698	38.8821
674	271.34	48.1043
675	742.48	35.486
676	302.463	42.6717
677	1108.13	56.3154
678	377.851	39.0949
679	1060.91	34.0299
680	248.948	18.4435
681	880.395	45.0327
682	347.923	34.7041
683	826.112	33.6093
684	337.457	40.3334
685	880.529	45.9798
686	442.555	42.0683
687	986.641	46.2697
688	449.094	33.3849
689	1155.39	33.013
690	501.685	34.1869
691	1269	28.0988
692	574.986	45.4498
693	1131.07	39.4129
694	453.866	57.2725
695	1015.17	48.3717
696	608.689	24.4317
697	1410.83	33.0599
698	624.747	25.2919
699	1348.32	24.021
700	600.756	32.4398
701	1150.69	39.2532
702	621.425	33.6208
703	1283.78	24.5315
704	793.805	45.5316
705	1353.07	49.8207
706	733.175	18.049
707	1503.91	29.6969
708	696.846	39.6839
709	1655.14	33.4813
710	948.817	52.7259
711	1789.33	33.1302
712	1199.61	46.1252
713	2514.77	49.4085
714	1123.23	68.9632
715	2123.96	35.5628
716	920.141	48.4742
717	1897.64	31.8442
718	421.456	37.6963
719	604.798	22.5793
720	-1	-1
721	290.261	47.9431
722	630.315	277.054
723	541.57	25.7216
724	217.515	20.0472
725	687.17	34.6151
726	275.193	26.494
727	777.254	25.248
728	356.32	28.2629
729	1057.46	35.3761
730	391.197	44.534
731	1398.9	49.6391
732	500.929	20.5446
733	1263.83	157.06
734	490.092	31.3267
735	1642.62	248.582
736	432.741	31.8106
737	1191.49	27.7678
738	486.212	38.2762
739	1391	31.3991
740	472.171	37.1555
741	1167.49	39.503
742	623.866	42.1368
743	1494.42	61.7495
744	670.795	44.6588
745	1404.71	28.7887
746	631.051	26.9869
747	1358.09	38.7194
748	677.19	27.0654
749	1397.9	33.8053
750	662.368	26.2799
751	1566.74	45.3226
752	988.062	51.7793
753	1897.53	32.8914
754	981.765	68.9324
755	2059.33	35.0145
756	1097.53	61.8617
757	2126.69	43.8147
758	1085.05	37.047
759	-1	-1
760	1028.37	59.207
761	1929.06	49.6581
762	914.084	55.1959
763	1754.38	30.5875
764	-1	-1
765	1301.96	38.769
766	264.829	25.5817
767	440.989	31.8574
768	138.007	26.3014
769	340.122	24.4758
770	379.067	11.6998
771	755.053	19.0567
772	419.537	37.8203
773	972.506	27.5008
774	463.207	22.4158
775	1000.18	42.6595
776	361.083	29.0621
777	818.654	30.6443
778	362.987	30.9778
779	968.49	47.9399
780	387.216	25.7306
781	880.918	29.622
782	467.346	39.4213
783	967.603	43.8362
784	617.392	47.3311
785	1033.02	25.6286
786	626.645	45.4389
787	1031.5	50.8205
788	563.963	36.0261
789	610.217	39.9804
790	407.157	43.8294
791	620.653	46.8117
792	718.422	64.0811
793	1285.93	44.1644
794	759.795	60.2085
795	1239.78	37.7277
796	641.594	27.4974
797	884.456	42.7476
798	701.389	43.2363
799	1371.8	31.3407
800	810.706	44.8729
801	1541.97	36.5788
802	764.149	41.2527
803	1403.66	32.8631
804	895.615	74.049
805	1466.03	35.389
806	918.863	44.015
807	1429.28	44.4514
808	1436.83	44.5227
809	2176.69	49.0679
810	1190.59	39.5887
811	2301.31	83.7945
812	1058.88	32.7106
813	2010.2	26.6228
814	359.095	21.512
815	676.122	29.1167
816	-1	-1
817	268.004	26.798
818	-1	-1
819	604.395	31.9974
820	-1	-1
821	595.689	31.6827
822	140.75	50.9262
823	742.446	62.069
824	237.974	63.2115
825	1009.17	48.7133
826	251.331	26.5836
827	1064.92	40.894
828	266.673	39.1035
829	948.135	41.7995
830	294.046	23.9452
831	1228.92	34.5857
832	196.357	26.8472
833	177.845	25.1715
834	177.555	26.6694
835	955.588	44.491
836	262.077	50.1857
837	1107.84	39.1767
838	312.215	21.7324
839	1123.11	41.2428
840	338.184	39.9519
841	1148.13	50.8361
842	307.844	59.8151
843	915.182	44.4424
844	312.448	64.3573
845	1102.42	36.0478
846	354.092	43.4172
847	1164.8	28.7255
848	484.82	29.8312
849	1880.82	44.7929
850	573.174	34.6648
851	1517.48	45.9612
852	538.019	44.6063
853	1672.74	36.4063
854	592.37	25.0102
855	1823.28	56.7868
856	472.011	24.3172
857	1536.49	40.4347
858	357.677	26.2231
859	1345.9	38.347
860	344.624	25.6062
861	1109.55	45.1811
862	209.776	22.3032
863	440.262	27.8125
864	219.417	38.8925
865	148.806	28.8384
866	376.872	20.8743
867	265.751	31.8781
868	444.563	28.8215
869	394.889	29.8606
870	504.566	37.7296
871	1474.96	77.7184
872	308.962	30.2723
873	326.879	32.2376
874	354.603	32.3769
875	407.949	21.8989
876	494.874	75.9151
877	411.338	31.5059
878	461.178	35.0096
879	500.103	23.9056
880	571.016	40.8985
881	438.049	21.3267
882	519.236	22.8859
883	416.717	38.6174
884	564.982	52.2313
885	477.322	34.8306
886	636.919	38.9069
887	512.258	26.7769
888	658.054	28.7035
889	639.897	32.7539
890	648.826	25.6432
891	637.551	51.5221
892	647.51	26.3347
893	594.343	37.0065
894	793.976	20.9431
895	567.255	34.7601
896	633.061	23.9344
897	641.997	20.822
898	742.123	40.8089
899	616.661	35.2206
900	761.17	20.0754
901	593.182	45.3998
902	801.419	15.9276
903	653.268	25.9564
904	1381.1	31.4901
905	968.997	27.6925
906	1032.98	31.955
907	1018.3	28.8511
908	1071.58	22.8468
909	790.061	37.7632
910	488.362	35.5403
911	345.485	30.5558
912	202.844	22.7548
913	323.518	48.446
914	548.581	34.889
915	848.461	34.4004
916	682.351	59.5417
917	747.957	125.895
918	724.685	33.4934
919	921.919	39.7026
920	991.349	44.7304
921	1268.7	52.4249
922	996.194	36.4761
923	1425.55	49.1768
924	1041.17	33.2386
925	1365.63	34.9692
926	1239.82	41.964
927	1362.09	38.131
928	999.954	41.1856
929	1236.67	65.8138
930	1016.51	30.6053
931	1279.4	51.6723
932	1022.22	26.8541
933	1317.46	38.025
934	1152.26	38.5522
935	1414.02	64.6636
936	1352.66	42.3102
937	1333.95	43.7103
938	1177.45	56.0605
939	1353.11	40.4284
940	1346.8	48.1774
941	1405.15	41.9113
942	1427.2	50.2098
943	1442.53	50.9028
944	1937.35	25.3556
945	1958.43	47.3796
946	1734.03	38.033
947	1987.13	27.3624
948	1724.09	23.7911
949	1871.73	52.445
950	1846.32	48.7673
951	2045.02	39.8878
952	1399.81	28.0275
953	1787.37	54.8064
954	1800.24	31.4778
955	1584.47	39.2007
956	1371.48	29.5765
957	1456.93	29.3528
958	465.476	40.8038
959	510.008	45.5559
960	-1	-1
961	-1	-1
962	-1	-1
963	-1	-1
964	-1	-1
965	-1	-1
966	-1	-1
967	-1	-1
968	-1	-1
969	-1	-1
970	-1	-1
971	-1	-1
972	-1	-1
973	-1	-1
974	-1	-1
975	-1	-1
976	1197.88	75.0096
977	1208.72	37.9968
978	1155.7	50.8841
979	1291.89	45.5871
980	1105.99	31.2104
981	1285.03	54.2691
982	1091.6	31.1318
983	1153.99	52.9549
984	1400.93	44.2976
985	1323.36	33.5543
986	1216.96	47.5229
987	1446.7	50.7073
988	1356.93	25.7016
989	1242.11	60.8988
990	1090.88	43.0804
991	1198.29	35.5094
992	1261.26	43.6674
993	1406.46	20.0781
994	1442.27	41.4188
995	1581.26	32.4049
996	1432.47	34.3423
997	1507.07	44.3923
998	1337.19	38.8584
999	1441.06	56.317
1000	2250.78	52.2786
1001	2354.34	57.949
1002	-1	-1
1003	2188.99	46.0488
1004	1962.29	90.1152
1005	2178.3	44.8939
1006	600.49	31.0165
1007	821.35	44.0137
1008	-1	-1
1009	-1	-1
1010	-1	-1
1011	-1	-1
1012	-1	-1
1013	-1	-1
1014	-1	-1
1015	-1	-1
1016	-1	-1
1017	-1	-1
1018	-1	-1
1019	-1	-1
1020	-1	-1
1021	-1	-1
1022	-1	-1
1023	-1	-1
1024	1272.77	28.9499
1025	1540.31	72.2347
1026	1301.02	64.3977
1027	1464.63	45.5851
1028	1302.44	45.465
1029	1416.04	56.6783
1030	1264.74	32.242
1031	1660.07	30.4253
1032	1614.53	33.0363
1033	1514.73	44.0648
1034	1529.75	44.5687
1035	1548.44	38.4408
1036	1628.11	45.2439
1037	1413.5	40.0734
1038	-1	-1
1039	1605.53	37.2249
1040	2430.71	76.7752
1041	2178.58	59.0164
1042	2100.43	46.1334
1043	2372.51	45.3091
1044	2425.29	47.9208
1045	2426.37	45.6006
1046	2310.19	61.5176
1047	2319.45	63.862
1048	2150.26	85.0755
1049	2160.87	44.1906
1050	-1	-1
1051	1878.45	64.5694
1052	1917.85	42.4067
1053	1673.51	28.8512
1054	567.024	57.5906
1055	665.888	61.1508
1056	1550.18	84.9744
1057	505.944	35.4064
1058	971.548	65.2098
1059	175.362	28.9984
1060	1403.26	44.9595
1061	26440.2	448.613
1062	1074.84	22.8871
1063	1460.33	40.5657
1064	1542.39	58.6336
1065	1679.5	36.3589
1066	1757.24	60.0633
1067	2411.37	106.958
1068	1451.17	55.1698
1069	2151.36	54.8931
1070	2292.51	55.2839
1071	2127.92	43.4124
1072	1995.79	66.341
1073	2188.18	44.7948
1074	2170.7	61.6893
1075	2006.23	38.7528
1076	2097.76	56.3682
1077	1993.35	58.3221
1078	1900.1	53.9982
1079	2022.11	22.3857
1080	2381.21	41.601
1081	2217.44	42.5559
1082	2174.64	55.8247
1083	2141.59	44.3573
1084	1950.59	29.9861
1085	2331.72	71.4867
1086	2479.79	45.1522
1087	2234.93	37.4308
1088	2240.02	51.2354
1089	2351.32	41.0313
1090	2284.49	50.0319
1091	2164.04	50.3474
1092	2600.04	50.5476
1093	2492.1	47.8482
1094	2462.87	89.5471
1095	2609.88	57.9205
1096	2154.74	64.0375
1097	2202.98	48.6289
1098	2424.03	44.2131
1099	2478.33	54.846
1100	2165.64	48.1233
1101	2220.35	53.6326
1102	750.915	42.2868
1103	650.264	20.975
1104	256.942	31.5319
1105	288.388	27.1226
1106	1198.56	26.0638
1107	359.081	24.5363
1108	1363.07	38.9306
1109	1835.18	56.0883
1110	1977.59	48.0693
1111	1584.21	39.1267
1112	1728.08	61.6449
1113	2043.05	50.8519
1114	2431.79	64.1601
1115	2596.98	65.0233
1116	1514.36	54.3502
1117	1997.95	40.8275
1118	2122.28	45.0198
1119	1781.13	39.5861
1120	2678.22	46.739
1121	2465.5	44.1315
1122	2258.11	45.4992
1123	2623.38	29.2131
1124	2205.22	45.7651
1125	2296.11	41.7598
1126	2448.27	44.4758
1127	2263.62	36.3934
1128	2677.41	41.5474
1129	3066.2	57.4545
1130	2645.82	39.399
1131	2604.29	42.1554
1132	2452.89	62.1897
1133	2347.71	65.0825
1134	2801.52	57.5182
1135	2502.3	69.2792
1136	2909.13	69.8031
1137	2550.15	44.9466
1138	2380.02	63.3944
1139	2510.91	43.2299
1140	2261.52	48.2568
1141	2410.01	53.2249
1142	2349.13	38.397
1143	2504.02	56.6401
1144	2085.34	57.8336
1145	2435.24	51.0543
1146	2245.8	35.3859
1147	2362.35	49.8645
1148	1848.88	63.2295
1149	2072.04	37.4582
1150	795.124	42.5067
1151	878.017	48.7122
1152	649.146	31.5236
1153	665.064	36.0806
1154	1671.17	38.5648
1155	1609.85	30.9571
1156	2157.73	29.2115
1157	1739.96	54.9455
1158	2132.96	37.4131
1159	2062.4	26.8741
1160	4571.69	51.1777
1161	3512.3	50.0149
1162	3804.12	51.7481
1163	4168.86	151.524
1164	1822.29	43.897
1165	2074.24	44.3222
1166	1874.52	33.7151
1167	2250.56	56.2805
1168	2446.47	42.8218
1169	2142.7	51.2968
1170	2281.96	72.5452
1171	2177.2	41.2502
1172	2101	39.681
1173	1988.69	38.9379
1174	2582.68	39.3584
1175	-1	-1
1176	2500.18	51.315
1177	2190.58	62.4414
1178	2299.46	65.052
1179	2046.87	48.7787
1180	2039.59	25.9334
1181	1934.98	27.6042
1182	2437.85	26.0928
1183	2259.52	51.7343
1184	414.446	33.6953
1185	440.887	55.6941
1186	335.941	28.9536
1187	534.451	27.1192
1188	1986.08	64.3211
1189	1862.83	39.1944
1190	1677.16	41.5946
1191	1453.73	47.2535
1192	1612.3	37.5321
1193	1580.58	55.0648
1194	1563.29	49.8341
1195	1499.48	36.9684
1196	1610.11	26.9725
1197	1706.45	28.865
1198	470.51	16.5238
1199	436.931	30.533
1200	797.05	48.12
1201	701.309	56.2948
1202	1834.02	40.7886
1203	1466.5	42.5429
1204	-1	-1
1205	2196.96	45.6373
1206	2237.36	46.5836
1207	1926.11	52.377
1208	2101.21	52.2553
1209	2077.38	37.5094
1210	2133.83	43.5633
1211	1794.11	40.5808
1212	2047.56	45.5615
1213	1673.87	34.3472
1214	1937.72	40.9248
1215	2103.77	69.5203
1216	1794.21	44.2255
1217	1996.86	36.8673
1218	1745.97	32.6662
1219	1840.86	45.1384
1220	2364.57	40.796
1221	2082	46.468
1222	-1	-1
1223	2093.85	50.536
1224	1833.94	35.836
1225	1783.94	40.0787
1226	2033.93	38.9017
1227	1749.14	37.1884
1228	2137.3	45.5681
1229	1972.38	40.6899
1230	1883.7	45.4289
1231	1912.17	44.8885
1232	1816.41	46.8677
1233	1484.63	27.2903
1234	1776.18	39.0357
1235	1651.08	62.2142
1236	1605.37	47.0051
1237	1734.9	31.8152
1238	1490.93	55.1372
1239	1446.04	40.4286
1240	1135.08	41.6397
1241	1516.3	42.2743
1242	1589.25	33.6983
1243	1298.07	58.4659
1244	339.103	32.7844
1245	403.269	66.2722
1246	-1	-1
1247	-1	-1
1248	560.671	35.551
1249	493.195	36.6637
1250	1298.29	40.5258
1251	1167.98	39.1829
1252	1646.3	63.9517
1253	1582.14	57.1036
1254	1644.92	80.6767
1255	1599.65	69.5018
1256	1988.63	38.7938
1257	2070.34	48.2761
1258	2198.53	39.7066
1259	1756.08	33.4342
1260	2084.9	32.0953
1261	2001.92	45.521
1262	2496.94	64.4946
